id,target
300000,0.35600000000000004
300001,0.45399999999999996
300002,0.308
300003,0.395
300004,0.7440000000000001
300005,0.38299999999999995
300006,0.462
300007,0.213
300008,0.424
300009,0.39399999999999996
300010,0.299
300011,0.35
300012,0.449
300013,0.354
300014,0.35800000000000004
300015,0.341
300016,0.185
300017,0.5429999999999999
300018,0.507
300019,0.503
300020,0.3510000000000001
300021,0.397
300022,0.177
300023,0.162
300024,0.383
300025,0.161
300026,0.15899999999999995
300027,0.22200000000000006
300028,0.175
300029,0.461
300030,0.214
300031,0.331
300032,0.28500000000000003
300033,0.272
300034,0.231
300035,0.4550000000000001
300036,0.272
300037,0.155
300038,0.402
300039,0.607
300040,0.21
300041,0.30700000000000005
300042,0.214
300043,0.232
300044,0.35700000000000004
300045,0.289
300046,0.09300000000000001
300047,0.419
300048,0.5760000000000001
300049,0.282
300050,0.281
300051,0.501
300052,0.273
300053,0.128
300054,0.561
300055,0.214
300056,0.14
300057,0.08
300058,0.45
300059,0.426
300060,0.20199999999999999
300061,0.491
300062,0.344
300063,0.612
300064,0.187
300065,0.467
300066,0.27699999999999997
300067,0.294
300068,0.412
300069,0.7550000000000001
300070,0.462
300071,0.259
300072,0.31100000000000005
300073,0.315
300074,0.24799999999999994
300075,0.157
300076,0.446
300077,0.201
300078,0.48
300079,0.22400000000000006
300080,0.124
300081,0.5069999999999999
300082,0.746
300083,0.232
300084,0.412
300085,0.28500000000000003
300086,0.401
300087,0.248
300088,0.386
300089,0.331
300090,0.406
300091,0.49700000000000005
300092,0.34299999999999997
300093,0.15899999999999995
300094,0.4680000000000001
300095,0.4280000000000001
300096,0.23
300097,0.425
300098,0.17600000000000002
300099,0.23800000000000002
300100,0.127
300101,0.527
300102,0.305
300103,0.185
300104,0.37799999999999995
300105,0.209
300106,0.363
300107,0.29300000000000004
300108,0.384
300109,0.204
300110,0.28500000000000003
300111,0.038
300112,0.35300000000000004
300113,0.401
300114,0.258
300115,0.22800000000000006
300116,0.562
300117,0.41
300118,0.461
300119,0.358
300120,0.175
300121,0.4640000000000001
300122,0.366
300123,0.44
300124,0.28
300125,0.379
300126,0.28
300127,0.5290000000000001
300128,0.467
300129,0.5080000000000001
300130,0.28700000000000003
300131,0.239
300132,0.307
300133,0.4869999999999999
300134,0.498
300135,0.217
300136,0.047
300137,0.5130000000000001
300138,0.725
300139,0.382
300140,0.393
300141,0.121
300142,0.198
300143,0.449
300144,0.315
300145,0.28200000000000003
300146,0.516
300147,0.204
300148,0.37799999999999995
300149,0.16699999999999998
300150,0.139
300151,0.077
300152,0.191
300153,0.40399999999999997
300154,0.39299999999999996
300155,0.248
300156,0.385
300157,0.105
300158,0.281
300159,0.188
300160,0.223
300161,0.29600000000000004
300162,0.262
300163,0.249
300164,0.218
300165,0.305
300166,0.17600000000000002
300167,0.16699999999999998
300168,0.252
300169,0.212
300170,0.409
300171,0.636
300172,0.13599999999999998
300173,0.131
300174,0.11800000000000002
300175,0.255
300176,0.3210000000000001
300177,0.517
300178,0.25999999999999995
300179,0.253
300180,0.341
300181,0.21800000000000005
300182,0.675
300183,0.617
300184,0.401
300185,0.49200000000000005
300186,0.177
300187,0.17800000000000002
300188,0.494
300189,0.27
300190,0.34600000000000003
300191,0.391
300192,0.391
300193,0.036000000000000004
300194,0.299
300195,0.103
300196,0.4900000000000001
300197,0.37
300198,0.188
300199,0.262
300200,0.27699999999999997
300201,0.3650000000000001
300202,0.401
300203,0.338
300204,0.419
300205,0.451
300206,0.408
300207,0.331
300208,0.3770000000000001
300209,0.334
300210,0.359
300211,0.29500000000000004
300212,0.14300000000000002
300213,0.424
300214,0.239
300215,0.171
300216,0.191
300217,0.5050000000000001
300218,0.094
300219,0.092
300220,0.261
300221,0.239
300222,0.039
300223,0.381
300224,0.26899999999999996
300225,0.16699999999999998
300226,0.3690000000000001
300227,0.24800000000000005
300228,0.16999999999999998
300229,0.22699999999999998
300230,0.515
300231,0.19399999999999998
300232,0.192
300233,0.607
300234,0.28
300235,0.39799999999999996
300236,0.192
300237,0.314
300238,0.18
300239,0.188
300240,0.103
300241,0.325
300242,0.307
300243,0.5579999999999999
300244,0.427
300245,0.243
300246,0.5660000000000001
300247,0.255
300248,0.5109999999999999
300249,0.086
300250,0.42200000000000004
300251,0.726
300252,0.141
300253,0.358
300254,0.563
300255,0.309
300256,0.298
300257,0.174
300258,0.314
300259,0.409
300260,0.7060000000000001
300261,0.39399999999999996
300262,0.268
300263,0.5369999999999999
300264,0.427
300265,0.19
300266,0.37
300267,0.381
300268,0.25
300269,0.45799999999999996
300270,0.5379999999999999
300271,0.35100000000000003
300272,0.413
300273,0.28900000000000003
300274,0.617
300275,0.245
300276,0.36700000000000005
300277,0.6609999999999999
300278,0.136
300279,0.136
300280,0.29100000000000004
300281,0.177
300282,0.307
300283,0.10299999999999998
300284,0.23600000000000004
300285,0.466
300286,0.112
300287,0.254
300288,0.568
300289,0.47700000000000004
300290,0.434
300291,0.13699999999999998
300292,0.30799999999999994
300293,0.5519999999999999
300294,0.14700000000000002
300295,0.117
300296,0.633
300297,0.274
300298,0.251
300299,0.374
300300,0.473
300301,0.534
300302,0.155
300303,0.161
300304,0.562
300305,0.34500000000000003
300306,0.412
300307,0.366
300308,0.211
300309,0.16699999999999998
300310,0.29600000000000004
300311,0.06699999999999999
300312,0.159
300313,0.387
300314,0.28900000000000003
300315,0.3730000000000001
300316,0.2919999999999999
300317,0.34900000000000003
300318,0.18100000000000002
300319,0.5429999999999999
300320,0.5429999999999999
300321,0.27699999999999997
300322,0.381
300323,0.08900000000000001
300324,0.221
300325,0.341
300326,0.134
300327,0.26899999999999996
300328,0.19899999999999998
300329,0.46
300330,0.237
300331,0.29900000000000004
300332,0.157
300333,0.467
300334,0.27699999999999997
300335,0.39299999999999996
300336,0.613
300337,0.836
300338,0.22000000000000006
300339,0.259
300340,0.45
300341,0.32299999999999995
300342,0.33
300343,0.102
300344,0.37
300345,0.27899999999999997
300346,0.32799999999999996
300347,0.48100000000000004
300348,0.479
300349,0.563
300350,0.618
300351,0.226
300352,0.28300000000000003
300353,0.366
300354,0.585
300355,0.326
300356,0.19399999999999998
300357,0.481
300358,0.348
300359,0.5599999999999999
300360,0.14600000000000002
300361,0.424
300362,0.19899999999999998
300363,0.575
300364,0.128
300365,0.406
300366,0.16499999999999998
300367,0.16899999999999998
300368,0.267
300369,0.092
300370,0.213
300371,0.27
300372,0.35700000000000004
300373,0.461
300374,0.5429999999999999
300375,0.8219999999999998
300376,0.5660000000000001
300377,0.25
300378,0.505
300379,0.116
300380,0.22699999999999998
300381,0.313
300382,0.212
300383,0.297
300384,0.544
300385,0.457
300386,0.18100000000000002
300387,0.124
300388,0.094
300389,0.433
300390,0.43
300391,0.21100000000000002
300392,0.363
300393,0.111
300394,0.33
300395,0.484
300396,0.371
300397,0.399
300398,0.41
300399,0.41700000000000004
300400,0.6629999999999999
300401,0.575
300402,0.3
300403,0.34700000000000003
300404,0.31599999999999995
300405,0.455
300406,0.306
300407,0.245
300408,0.28400000000000003
300409,0.468
300410,0.174
300411,0.248
300412,0.298
300413,0.24900000000000005
300414,0.29900000000000004
300415,0.4560000000000001
300416,0.15500000000000005
300417,0.431
300418,0.127
300419,0.31
300420,0.289
300421,0.23400000000000004
300422,0.073
300423,0.08300000000000002
300424,0.08199999999999999
300425,0.29100000000000004
300426,0.303
300427,0.172
300428,0.198
300429,0.244
300430,0.254
300431,0.13799999999999998
300432,0.171
300433,0.2520000000000001
300434,0.408
300435,0.224
300436,0.277
300437,0.11900000000000001
300438,0.09300000000000001
300439,0.214
300440,0.373
300441,0.305
300442,0.448
300443,0.22200000000000006
300444,0.281
300445,0.131
300446,0.5379999999999999
300447,0.5149999999999999
300448,0.545
300449,0.382
300450,0.37
300451,0.5870000000000001
300452,0.6209999999999999
300453,0.4310000000000001
300454,0.231
300455,0.32399999999999995
300456,0.251
300457,0.418
300458,0.441
300459,0.19
300460,0.47
300461,0.337
300462,0.252
300463,0.213
300464,0.385
300465,0.191
300466,0.201
300467,0.426
300468,0.096
300469,0.35
300470,0.28600000000000003
300471,0.619
300472,0.469
300473,0.28800000000000003
300474,0.519
300475,0.255
300476,0.402
300477,0.368
300478,0.4360000000000001
300479,0.18100000000000002
300480,0.091
300481,0.531
300482,0.371
300483,0.29900000000000004
300484,0.098
300485,0.067
300486,0.4819999999999999
300487,0.337
300488,0.336
300489,0.307
300490,0.267
300491,0.16299999999999998
300492,0.522
300493,0.244
300494,0.28
300495,0.069
300496,0.14
300497,0.16899999999999998
300498,0.446
300499,0.473
300500,0.127
300501,0.368
300502,0.17600000000000002
300503,0.514
300504,0.239
300505,0.239
300506,0.6459999999999999
300507,0.08199999999999999
300508,0.34
300509,0.29600000000000004
300510,0.29700000000000004
300511,0.116
300512,0.08700000000000001
300513,0.31
300514,0.308
300515,0.259
300516,0.21100000000000002
300517,0.103
300518,0.306
300519,0.08900000000000001
300520,0.265
300521,0.237
300522,0.24
300523,0.28500000000000003
300524,0.516
300525,0.389
300526,0.335
300527,0.275
300528,0.468
300529,0.23800000000000002
300530,0.292
300531,0.15499999999999994
300532,0.477
300533,0.19399999999999998
300534,0.408
300535,0.127
300536,0.48
300537,0.18600000000000003
300538,0.396
300539,0.503
300540,0.299
300541,0.298
300542,0.15699999999999995
300543,0.23
300544,0.15300000000000002
300545,0.28700000000000003
300546,0.239
300547,0.36200000000000004
300548,0.259
300549,0.337
